Detected Ball Activity

Frame 18 (744, 407) Hit by Player
Frame 20 (669, 409) Bounce on Table
Frame 35 (325, 395) Bounce on Table
Frame 42 (261, 320) Hit by Player
Frame 57 (684, 372) Bounce on Table
Frame 66 (725, 296) Hit by Player
Frame 80 (389, 384) Bounce on Table
Frame 90 (305, 333) Hit by Player
Frame 103 (612, 387) Bounce on Table
Frame 113 (649, 315) Hit by Player
Frame 131 (183, 414) Bounce on Table
Frame 156 (632, 375) Bounce on Table
Frame 165 (690, 285) Hit by Player
Frame 185 (132, 410) Bounce on Table
Frame 203 (152, 250) Hit by Player
Frame 221 (692, 348) Bounce on Table
Frame 233 (696, 190) Hit by Player
Frame 254 (179, 403) Bounce on Table
Frame 262 (154, 267) Hit by Player
Frame 275 (642, 344) Hit by Player
Frame 279 (765, 392) Bounce on Table
Frame 319 (344, 351) Bounce on Table
Frame 352 (263, 346) Bounce on Table
Frame 403 (227, 373) Hit by Player
Frame 405 (268, 369) Bounce on Table
Frame 421 (528, 388) Bounce on Table
Frame 432 (640, 367) Hit by Player
Frame 448 (207, 406) Bounce on Table
Frame 469 (737, 419) Bounce on Table
Frame 477 (777, 303) Hit by Player
Frame 495 (202, 377) Bounce on Table
Frame 499 (208, 308) Hit by Player
Frame 515 (640, 385) Bounce on Table
Frame 524 (708, 316) Hit by Player
Frame 538 (268, 413) Bounce on Table
Frame 544 (218, 326) Hit by Player
Frame 561 (656, 390) Bounce on Table
Frame 585 (240, 400) Bounce on Table
Frame 590 (223, 335) Hit by Player
Frame 605 (764, 436) Bounce on Table
Frame 613 (746, 297) Hit by Player
Frame 630 (236, 374) Bounce on Table
Frame 634 (244, 314) Hit by Player
Frame 648 (685, 407) Bounce on Table
Frame 656 (795, 347) Hit by Player
Frame 677 (188, 357) Hit by Player
Frame 688 (475, 384) Hit the Net
Frame 800 (249, 405) Hit by Player
Frame 815 (635, 382) Bounce on Table
Frame 822 (682, 307) Hit by Player
Frame 830 (476, 245) Hit the Net
Frame 858 (126, 240) Hit by Player
Frame 876 (731, 377) Bounce on Table
Frame 911 (114, 398) Bounce on Table
Frame 932 (80, 264) Hit by Player
Frame 952 (629, 373) Bounce on Table
Frame 964 (699, 247) Hit by Player
Frame 980 (235, 393) Bounce on Table
Frame 987 (174, 298) Hit by Player
Frame 1003 (676, 375) Bounce on Table
Frame 1011 (732, 290) Hit by Player
Frame 1026 (212, 388) Bounce on Table
Frame 1031 (203, 311) Hit by Player
Frame 1048 (713, 366) Bounce on Table
Frame 1055 (713, 273) Hit by Player
Frame 1074 (124, 384) Bounce on Table
Frame 1078 (107, 314) Hit by Player
Frame 1096 (616, 373) Bounce on Table
Frame 1107 (698, 289) Hit by Player
Frame 1123 (250, 397) Bounce on Table
Frame 1143 (608, 385) Bounce on Table
Frame 1153 (655, 294) Hit by Player
Frame 1169 (180, 422) Bounce on Table
Frame 1175 (166, 336) Hit by Player
Frame 1189 (655, 379) Bounce on Table
Frame 1196 (676, 288) Hit by Player
Frame 1211 (183, 360) Bounce on Table
Frame 1214 (184, 315) Hit by Player
Frame 1232 (760, 428) Bounce on Table
Frame 1279 (544, 357) Bounce on Table
Frame 1292 (554, 356) Bounce on Table
Frame 1298 (544, 357) Hit by Player
Frame 1417 (954, 467) Bounce on Table
Frame 1465 (499, 411) Bounce on Table
Frame 1468 (481, 372) Hit the Net
Frame 1572 (210, 352) Hit by Player
Frame 1576 (356, 383) Bounce on Table
Frame 1590 (712, 390) Bounce on Table
Frame 1597 (723, 305) Hit by Player
Frame 1615 (290, 393) Bounce on Table
Frame 1621 (268, 317) Hit by Player
Frame 1637 (744, 375) Bounce on Table
Frame 1644 (749, 276) Hit by Player
Frame 1662 (229, 415) Bounce on Table
Frame 1668 (195, 317) Hit by Player
Frame 1684 (672, 372) Bounce on Table
Frame 1698 (570, 250) Hit by Player
Frame 1710 (238, 426) Bounce on Table
Frame 1720 (158, 313) Hit by Player
Frame 1734 (618, 381) Bounce on Table
Frame 1746 (626, 246) Hit by Player
Frame 1762 (254, 419) Bounce on Table
Frame 1774 (141, 349) Hit by Player
Frame 1775 (198, 333) Bounce on Table
Frame 1788 (667, 379) Bounce on Table
Frame 1795 (729, 283) Hit by Player
Frame 1817 (166, 350) Bounce on Table
Frame 1826 (130, 242) Hit by Player
Frame 1845 (541, 382) Bounce on Table
Frame 1859 (707, 288) Hit by Player
Frame 1877 (260, 371) Bounce on Table
Frame 1884 (267, 274) Hit by Player
Frame 1899 (730, 401) Bounce on Table
Frame 1907 (815, 311) Hit by Player
Frame 1924 (309, 390) Bounce on Table
Frame 1949 (762, 386) Bounce on Table
Frame 1973 (232, 355) Bounce on Table
Frame 1978 (229, 288) Hit by Player
Frame 1993 (746, 389) Bounce on Table
Frame 1999 (788, 286) Hit by Player
Frame 2022 (140, 402) Bounce on Table
Frame 2051 (542, 391) Bounce on Table
Frame 2085 (36, 437) Bounce on Table
Frame 2098 (117, 244) Hit by Player
