Frame n (row, column) Bounce on Table
Frame 16 (367, 844) Hit by Player
Frame 19 (431, 696) Bounce on Table
Frame 35 (398, 327) Bounce on Table
Frame 41 (334, 227) Hit by Player
Frame 56 (390, 669) Bounce on Table
Frame 64 (315, 774) Hit by Player
Frame 78 (404, 418) Bounce on Table
Frame 89 (346, 272) Hit by Player
Frame 102 (408, 598) Bounce on Table
Frame 111 (349, 700) Hit by Player
Frame 129 (457, 211) Bounce on Table
Frame 139 (365, 69) Hit by Player
Frame 155 (401, 614) Bounce on Table
Frame 164 (307, 725) Hit by Player
Frame 184 (423, 145) Bounce on Table
Frame 220 (378, 685) Bounce on Table
Frame 229 (261, 799) Hit by Player
Frame 253 (439, 193) Bounce on Table
Frame 261 (287, 105) Hit by Player
Frame 278 (419, 731) Bounce on Table
Frame 286 (301, 853) Hit by Player
Frame 400 (311, 133) Hit by Player
Frame 404 (391, 249) Bounce on Table
Frame 420 (399, 515) Bounce on Table
Frame 431 (384, 674) Hit by Player
Frame 446 (433, 242) Bounce on Table
Frame 451 (377, 146) Hit by Player
Frame 468 (435, 719) Bounce on Table
Frame 475 (342, 848) Hit by Player
Frame 494 (394, 215) Bounce on Table
Frame 498 (321, 173) Hit by Player
Frame 514 (408, 622) Bounce on Table
Frame 523 (327, 745) Hit by Player
Frame 538 (417, 271) Bounce on Table
Frame 543 (346, 182) Hit by Player
Frame 560 (410, 642) Bounce on Table
Frame 568 (318, 752) Hit by Player
Frame 584 (424, 262) Bounce on Table
Frame 589 (349, 176) Bounce on Table
Frame 604 (448, 747) Bounce on Table
Frame 610 (365, 871) Bounce on Table
Frame 629 (393, 251) Bounce on Table
Frame 633 (323, 206) Bounce on Table
Frame 647 (426, 657) Bounce on Table
Frame 655 (372, 842) Bounce on Table
Frame 674 (385, 158) Bounce on Table
Frame 676 (369, 151) Hit by Player
Frame 687 (380, 473) Bounce on Table
Frame 697 (380, 451) Bounce on Table
Frame 706 (377, 442) Bounce on Table
Frame 715 (377, 435) Bounce on Table
Frame 723 (375, 431) Bounce on Table
Frame 730 (376, 428) Bounce on Table
Frame 737 (375, 429) Hit by Player
Frame 738 (372, 429) Bounce on Table
Frame 740 (375, 422) Hit by Player
Frame 742 (375, 417) Bounce on Table
Frame 796 (374, 57) Hit by Player
Frame 799 (433, 211) Bounce on Table
Frame 814 (403, 610) Bounce on Table
Frame 820 (344, 735) Hit by Player
Frame 842 (414, 148) Bounce on Table
Frame 875 (409, 708) Bounce on Table
Frame 883 (270, 864) Hit by Player
Frame 910 (438, 127) Bounce on Table
Frame 951 (406, 612) Bounce on Table
Frame 962 (267, 759) Hit by Player
Frame 979 (421, 256) Bounce on Table
Frame 986 (312, 141) Hit by Player
Frame 1002 (401, 655) Bounce on Table
Frame 1010 (302, 779) Hit by Player
Frame 1025 (406, 233) Bounce on Table
Frame 1030 (329, 156) Hit by Player
Frame 1047 (389, 695) Bounce on Table
Frame 1053 (306, 785) Hit by Player
Frame 1073 (409, 147) Bounce on Table
Frame 1077 (335, 70) Hit by Player
Frame 1095 (397, 600) Bounce on Table
Frame 1106 (301, 732) Hit by Player
Frame 1122 (418, 265) Bounce on Table
Frame 1128 (328, 180) Hit by Player
Frame 1142 (397, 595) Bounce on Table
Frame 1151 (315, 712) Hit by Player
Frame 1168 (448, 208) Bounce on Table
Frame 1174 (357, 104) Hit by Player
Frame 1188 (392, 639) Bounce on Table
Frame 1194 (309, 738) Hit by Player
Frame 1210 (379, 208) Bounce on Table
Frame 1213 (335, 148) Hit by Player
Frame 1231 (447, 743) Bounce on Table
Frame 1237 (363, 863) Hit by Player
Frame 1446 (375, 898) Hit by Player
Frame 1450 (448, 756) Bounce on Table
Frame 1464 (421, 506) Bounce on Table
Frame 1466 (393, 483) Hit the Net
Frame 1474 (377, 481) Hit the Net
Frame 1478 (407, 466) Bounce on Table
Frame 1487 (401, 408) Bounce on Table
Frame 1495 (390, 364) Bounce on Table
Frame 1496 (393, 361) Bounce on Table
Frame 1504 (388, 320) Bounce on Table
Frame 1511 (383, 288) Bounce on Table
Frame 1518 (379, 260) Bounce on Table
Frame 1570 (327, 143) Hit by Player
Frame 1575 (403, 323) Bounce on Table
Frame 1589 (409, 691) Bounce on Table
Frame 1595 (342, 781) Hit by Player
Frame 1614 (418, 306) Bounce on Table
Frame 1620 (335, 230) Hit by Player
Frame 1636 (398, 725) Bounce on Table
Frame 1642 (308, 812) Hit by Player
Frame 1683 (388, 655) Bounce on Table
Frame 1691 (292, 739) Bounce on Table
Frame 1709 (445, 254) Bounce on Table
Frame 1719 (334, 97) Bounce on Table
Frame 1733 (390, 604) Bounce on Table
Frame 1742 (289, 715) Hit by Player
Frame 1761 (447, 272) Bounce on Table
Frame 1773 (362, 96) Hit by Player
Frame 1787 (405, 644) Bounce on Table
Frame 1794 (308, 764) Hit by Player
Frame 1816 (370, 177) Bounce on Table
Frame 1825 (259, 105) Hit by Player
Frame 1844 (406, 526) Bounce on Table
Frame 1858 (305, 736) Hit by Player
Frame 1876 (380, 269) Bounce on Table
Frame 1882 (292, 210) Hit by Player
Frame 1898 (423, 700) Bounce on Table
Frame 1905 (342, 872) Hit by Player
Frame 1923 (409, 322) Bounce on Table
Frame 1932 (310, 194) Hit by Player
Frame 1948 (413, 739) Bounce on Table
Frame 1953 (323, 814) Hit by Player
Frame 1972 (374, 250) Bounce on Table
Frame 1977 (301, 187) Hit by Player
Frame 1992 (400, 726) Bounce on Table
Frame 1997 (331, 844) Hit by Player
Frame 2021 (419, 154) Bounce on Table
Frame 2050 (397, 523) Bounce on Table
Frame 2060 (364, 728) Hit by Player
Frame 2084 (460, 62) Bounce on Table
